,environment,mAP50,mAP50-95
0,dessert,0.4969702160958456,0.27953651742772856
1,snow,0.5780716876132382,0.3281253252948292
2,rural,0.7581204714922364,0.48091517062220096
3,dessert,0.5068330948801754,0.2595650860508577
4,snow,0.6409083063343715,0.3826601568903897
5,rural,0.6636836614575596,0.4178317829802796
6,dessert,0.526434521176404,0.30634976151488047
7,snow,0.5131338941710197,0.2680309964282154
8,rural,0.6797505080567898,0.4317355973214042
9,dessert,0.6547949354335381,0.3392415671656492
10,snow,0.5535489944980809,0.317049089896598
11,rural,0.7391582879871109,0.49141157381669487
12,dessert,0.7332542203603126,0.37825363747925717
13,snow,0.5118321275447543,0.2419989045403307
14,rural,0.6128961448854451,0.39723884285083944
15,dessert,0.7180359545952306,0.346636823758545
16,snow,0.6048191603650557,0.3081223610107271
17,rural,0.7223660668826037,0.44649923401470204
18,dessert,0.687204686849633,0.4441983190115252
19,snow,0.6590567936810569,0.37917759051638644
20,rural,0.5799934337735235,0.3498072417293271
21,dessert,0.5898925868339175,0.33687816995418346
22,snow,0.5807392464473214,0.34393326702926247
23,rural,0.693231621407093,0.46417599825113404
24,dessert,0.6218809536850685,0.32350198829625354
25,snow,0.4519755017203404,0.23794048106000226
26,rural,0.5642707626153901,0.3598526984479037
27,dessert,0.5734216331494091,0.320749055862581
28,snow,0.6217690182734558,0.36084223334491816
29,rural,0.7734211504751803,0.5464410907645814
30,dessert,0.558189177825777,0.27254409167763216
31,snow,0.5273615863501809,0.2965466058326874
32,rural,0.6595999590687959,0.434284590352115
33,dessert,0.6109180703444981,0.3493692709153511
34,snow,0.5891522564650072,0.3629294409461098
35,rural,0.6494800094489196,0.38498829916656124
36,dessert,0.6029831972845658,0.34202934561523385
37,snow,0.5893826710356784,0.3465621183132653
38,rural,0.5670628458987672,0.365704874731395
39,dessert,0.5964989921257842,0.31741168100241973
40,snow,0.5899320039048559,0.264783450012916
41,rural,0.6897039491522249,0.4463548268802574
42,dessert,0.550622213319,0.291243571727544
43,snow,0.708980017313696,0.37237556706952846
44,rural,0.5900978193382661,0.34478272274539634
45,dessert,0.5118181798002923,0.31926302651246885
46,snow,0.5426546857972345,0.34207891446734395
47,rural,0.7204161407830145,0.5134657030935694
48,dessert,0.7413612491194406,0.4458201257416469
49,snow,0.5230817424548546,0.28066498211338553
50,rural,0.6410191151647596,0.43389988104439725
51,dessert,0.651736508671765,0.368603415466888
52,snow,0.48621075888667825,0.26185919485920667
53,rural,0.5885486503066187,0.38065675218958656
54,dessert,0.5664037052057413,0.30689367174861765
55,snow,0.6304143354247974,0.3336332618437618
56,rural,0.7205938913059882,0.49911299580545904
57,dessert,0.5347999572778076,0.25998060413073903
58,snow,0.4916168747402091,0.27183016553837286
59,rural,0.7448778249016108,0.47187650976815865
60,dessert,0.6377174039287987,0.4064274052841911
61,snow,0.6257054454970313,0.31068362597509314
62,rural,0.6357231583243675,0.3661563490686065
63,dessert,0.6234284835814965,0.32992415815681986
64,snow,0.5050839036075411,0.29756180824024814
65,rural,0.571128005847034,0.352290321033827
66,dessert,0.6405384179773781,0.4070657654352738
67,snow,0.6685778539817786,0.37101617699684825
68,rural,0.6013420905476166,0.3910890908226571
69,dessert,0.574204148714646,0.29539149459753095
70,snow,0.6147156923095956,0.3573226708361642
71,rural,0.549376454649504,0.3178131101700331
72,dessert,0.6552026911812247,0.3812515301698834
73,snow,0.5724075779781059,0.319471391495726
74,rural,0.7555231321202521,0.4782465958584181
75,dessert,0.567467796824624,0.2815987437596951
76,snow,0.6318033826476059,0.3321172109839022
77,rural,0.6521331537224848,0.44414370607013315
78,dessert,0.6396099439997796,0.36796426156115686
79,snow,0.6055805299865741,0.30221003268075136
80,rural,0.7078732432752977,0.5006074658337837
81,dessert,0.540347534376201,0.24320626093204498
82,snow,0.6392058774012854,0.35556310845883893
83,rural,0.754853459365207,0.49684486611843204
84,dessert,0.5505636556671385,0.32351615720597776
85,snow,0.5986890196960406,0.3289303801556536
86,rural,0.6618976904555123,0.43579929839795434
87,dessert,0.6880914852290191,0.35574949350069457
88,snow,0.7535398733526515,0.44526562737919584
89,rural,0.6102412986009503,0.3658606951246797
90,dessert,0.5259004004010858,0.28433264018096227
91,snow,0.5293400799777074,0.2767676240159518
92,rural,0.5737204195298304,0.37613828509192937
93,dessert,0.6364107483698341,0.35336828636319295
94,snow,0.6244284625079191,0.3513600537035425
95,rural,0.7016103218259001,0.3990921291441931
96,dessert,0.5945332250729956,0.24730768170383036
97,snow,0.5936768488739756,0.3063787059010783
98,rural,0.5657053197192249,0.3553523222103139
99,dessert,0.5513357063366672,0.29224927513395854
100,snow,0.5675986138218393,0.3223793180197475
101,rural,0.6663662895631687,0.4132548199211243
102,dessert,0.599144375153129,0.32970144435726384
103,snow,0.5385119706314507,0.2852527649441562
104,rural,0.6106573641529909,0.3819689167853092
105,dessert,0.6367326765149595,0.3358201240885874
106,snow,0.5057511341473907,0.24820573316796937
107,rural,0.5239734901519038,0.3088353798715146
108,dessert,0.6277497565511825,0.3550103986457502
109,snow,0.5937126404636863,0.30778463104235565
110,rural,0.6778562158687342,0.40058140267006676
111,dessert,0.638266804841747,0.3649610210037634
112,snow,0.5041186685405731,0.2723348789689721
113,rural,0.6087822052381119,0.3350316015447442
114,dessert,0.6737068900540311,0.3976467621344233
115,snow,0.5113132624999659,0.2715312335092645
116,rural,0.6024790870725,0.39397422560720063
117,dessert,0.5372578571439229,0.29384129350531113
118,snow,0.7156698524927299,0.41216578018655925
119,rural,0.6697270022129059,0.425211468805449
120,dessert,0.5424537963033851,0.2856132610674054
121,snow,0.4714868786237845,0.26244452496830595
122,rural,0.6007944324202,0.3786337505712856
123,dessert,0.5543086109616242,0.2888216030884919
124,snow,0.527977854829567,0.26280854442843304
125,rural,0.712124123755173,0.4445241284654684
126,dessert,0.512803189234578,0.27587260294877614
127,snow,0.5002760587128421,0.28183862466601217
128,rural,0.6670385346558015,0.4160526784105339
129,dessert,0.551652250173438,0.32451917704167144
130,snow,0.5286635788168526,0.2720116999897331
131,rural,0.5802345412420373,0.35337201048657785
132,dessert,0.6623502389714833,0.3993226572751132
133,snow,0.5185661980524824,0.286180690427555
134,rural,0.7211906158150005,0.46842615947590127
135,dessert,0.5798846910434594,0.29577782039232947
136,snow,0.7353111470928302,0.3923140689764317
137,rural,0.6941581882080347,0.44624261389683156
138,dessert,0.6442758754718761,0.3414457443748156
139,snow,0.7025979149557703,0.3797553226061322
140,rural,0.758324220697126,0.4854882711168312
141,dessert,0.6145334317190176,0.3874089783282839
142,snow,0.6760976910747525,0.3545171291511374
143,rural,0.6895047311920567,0.4425728994625862
144,dessert,0.5927416968118566,0.30123870994664337
145,snow,0.6503860854649517,0.3478496507116819
146,rural,0.7254969620662834,0.45321651006744956
147,dessert,0.5675792780108546,0.3624721822698653
148,snow,0.5070722447622913,0.2838312325367151
149,rural,0.6227736398726719,0.4130423168003574
150,dessert,0.6495757984572821,0.3723759859558908
151,snow,0.533034760190066,0.2851969058274705
152,rural,0.6035336074376523,0.4135819138417135
